"tplace","fplace","id","from","to","fid","tid","fpid","tpi","date","lang","archive","year","flat","flng","tlat","tlng"
"-","Antwerp",4486,"HÖRL Veit","DANTISCUS Ioannes",499,1,38,429,"1537-06-19","German","AAWO",1537,51.219448,4.402464,NA,NA
"-","Gołąb",587,"GYRLACH Lazarus","DANTISCUS Ioannes",92,1,65,429,"1531-02-02","Latin","BCz",1531,51.48743,21.876182,NA,NA
"-","Leuven ",1526,"Gemma Frisius","DANTISCUS Ioannes",95,1,75,429,"1536-08-01","Latin","UUB",1536,50.883333,4.7,NA,NA
"-","Preußisch Mark ",5542,"WERDEN Johann von","DANTISCUS Ioannes",9,1,161,429,"1537-10-26","Low German","AAWO",1537,NA,NA,NA,NA
" ","-",3405,"ZZZZZUNK","DANTISCUS Ioannes",943,1,429,0,"1541-10-07","Latin","AAWO",1541,NA,NA,NA,NA
" "," ",6857,"ZZZZZUNK","DANTISCUS Ioannes",943,1,0,0,"","Latin","",NA,NA,NA,NA,NA
" ","Gdańsk",5963,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1539-05-02","German","AAWO",1539,54.352025,18.646638,NA,NA
" "," ",6642,"ZZZZZUNK","DANTISCUS Ioannes",943,1,0,0,"1541-04-30","Latin","BCz",1541,NA,NA,NA,NA
" "," ",6816,"DANTISCUS Ioannes","FERBER Mauritius",1,32,0,0,"1530-03-09","Latin","",1530,NA,NA,NA,NA
" "," ",6817,"Bona  Sforza","ALIFIO Lodovico",7,1,0,0,"1524-03-25","Latin","",1524,NA,NA,NA,NA
" "," s.l.",5,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1533-11-25","German","BCz",1533,NA,NA,NA,NA
" "," s.l.",7,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1537-10-26","German","AAWO",1537,NA,NA,NA,NA
" "," s.l.",12,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,3,0,"1538-05-31","Latin","",1538,NA,NA,NA,NA
" "," s.l.",6208,"DANTISCUS Ioannes","Albrecht I von Hohenzollern-Ansbach",1,18,3,0,"1545-01-12","German","GStA PK",1545,NA,NA,NA,NA
" "," s.l.",15,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1546-02-16","Latin","AAWO",1546,NA,NA,NA,NA
" "," s.l.",16,"DANTISCUS Ioannes","ZEBRZYDOWSKI Andrzej",1,381,3,0,"1546-12-07","Latin","AAWO",1546,NA,NA,NA,NA
" "," s.l.",18,"DODIEU Claude de Vély","DANTISCUS Ioannes",34,1,3,0,"1532-07-28","Latin","BCz",1532,NA,NA,NA,NA
" "," s.l.",19,"DODIEU Claude de Vély","DANTISCUS Ioannes",34,1,3,0,"1541-12-22","Latin","BK",1541,NA,NA,NA,NA
" "," s.l.",3806,"DANTISCUS Ioannes","Isabel  Aviz of Portugal",1,893,3,0,"1528-11-18","Spanish","AAWO",1528,NA,NA,NA,NA
" "," s.l.",21,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1536-11-12","Latin","",1536,NA,NA,NA,NA
" "," s.l.",22,"OBERSTEINER Paulus","DANTISCUS Ioannes",36,1,3,0,"1516-07-04","Latin","BK",1516,NA,NA,NA,NA
" "," s.l.",23,"MAGNUS Olaus","DANTISCUS Ioannes",1114,1,3,0,"1532-12-31","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",24,"AURIMONTANUS Hieronymus","DANTISCUS Ioannes",4,1,3,0,"1539-12-31","Latin","BCz",1539,NA,NA,NA,NA
" "," s.l.",25,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1548-10-27","Latin","BK",1548,NA,NA,NA,NA
" "," s.l.",26,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,985,3,0,"1540-04-27","Latin","BCz",1540,NA,NA,NA,NA
" "," s.l.",6093,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1536-12-31","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",31,"DANTISCUS Ioannes","NIBSCHITZ Nikolaus",1,10,3,0,"1533-09-29","German","GStA PK",1533,NA,NA,NA,NA
" "," s.l.",32,"MACIEJOWSKI Samuel","DANTISCUS Ioannes",38,1,3,0,"1539-05-25","Latin","BCz",1539,NA,NA,NA,NA
" "," s.l.",33,"GANDUCIUS Emanuel","DANTISCUS Ioannes",40,1,3,0,"1532-07-28","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",35,"WOJANOWSKI Fabian","DANTISCUS Ioannes",42,1,3,0,"1531-08-31","Latin","BK",1531,NA,NA,NA,NA
" "," s.l.",36,"Johann II von Montfort-Rothenfels","DANTISCUS Ioannes",43,1,3,0,"1527-12-31","German","BK",1527,NA,NA,NA,NA
" "," s.l.",37,"EHINGER Ulrich","DANTISCUS Ioannes",44,1,3,0,"1533-12-31","German","BK",1533,NA,NA,NA,NA
" "," s.l.",38,"TYSKH Leonardus a","DANTISCUS Ioannes",45,1,3,0,"1532-07-28","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",39,"DANTISCUS Ioannes","VALDÉS Alfonso de",1,59,3,0,"1532-07-07","Latin","",1532,NA,NA,NA,NA
" "," s.l.",41,"ACCURSIO Mariangelo","DANTISCUS Ioannes",47,1,3,0,"1532-07-29","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",42,"HASS Laurentius","DANTISCUS Ioannes",48,1,3,0,"1548-10-27","Latin","BK",1548,NA,NA,NA,NA
" ","Gdańsk",3722,"WERDEN Johann von","DANTISCUS Ioannes",9,1,24,0,"1533-02-11","Low German","BCz",1533,54.352025,18.646638,NA,NA
" "," s.l.",44,"ROGENELLUS Georgius","DANTISCUS Ioannes",39,1,3,0,"1541-12-31","Latin","BCz",1541,NA,NA,NA,NA
" "," s.l.",2317,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,3,0,"1540-06-03","Latin","BCz",1540,NA,NA,NA,NA
" "," s.l.",442,"WERDEN Johann von","DANTISCUS Ioannes",9,1,3,0,"1537-04-04","German","BCz",1537,NA,NA,NA,NA
" "," s.l.",3081,"DANTISCUS Ioannes","BARTSCH Andreas",1,849,3,0,"1547-04-26","German","AAWO",1547,NA,NA,NA,NA
" "," s.l.",5742,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1527-09-08","Latin","BK",1527,NA,NA,NA,NA
" "," s.l.",52,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,3,0,"1526-03-31","Latin","BNW",1526,NA,NA,NA,NA
" "," s.l.",54,"GÓRSKI Stanisław","DANTISCUS Ioannes",339,1,3,0,"1544-08-17","Latin","BJ",1544,NA,NA,NA,NA
" "," s.l.",56,"DANTISCUS Ioannes","MACIEJOWSKI Samuel",1,38,3,0,"1544-08-31","Latin","AAWO",1544,NA,NA,NA,NA
" "," s.l.",59,"KALECKI Maciej","DANTISCUS Ioannes",195,1,3,0,"1548-04-05","Latin","B. PAU-PAN",1548,NA,NA,NA,NA
" "," s.l.",61,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,3,0,"1539-09-24","Latin","AAWO",1539,NA,NA,NA,NA
" "," s.l.",67,"DANTISCUS Ioannes","Sigismund II Augustus  Jagiellon",1,12,3,0,"1546-05-02","Latin","BCz",1546,NA,NA,NA,NA
" "," s.l.",5754,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-07-07","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",75,"DANTISCUS Ioannes","WERDEN Johann von",1,9,3,0,"1536-07-27","German","BCz",1536,NA,NA,NA,NA
" "," s.l.",5757,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1529-06-20","Latin","BK",1529,NA,NA,NA,NA
" "," s.l.",5758,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-07-07","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",81,"DODIEU Claude de Vély","DANTISCUS Ioannes",34,1,3,0,"1535-04-30","Latin","AAWO",1535,NA,NA,NA,NA
" "," s.l.",82,"KMITA Piotr Sobieński","DANTISCUS Ioannes",852,1,3,0,"1541-12-31","Latin","AAWO",1541,NA,NA,NA,NA
" "," s.l.",3103,"DANTISCUS Ioannes","KONOPAT Georg von jr.",1,2403,3,0,"1547-06-02","German","AAWO",1547,NA,NA,NA,NA
" "," s.l.",84,"ZZZZZUNK","DANTISCUS Ioannes",943,1,3,0,"1530-06-15","Latin","AAWO",1530,NA,NA,NA,NA
" "," s.l.",85,"ODROWĄŻ  Stanisław","DANTISCUS Ioannes",53,1,3,0,"1545-03-07","Latin","AAWO",1545,NA,NA,NA,NA
" "," s.l.",86,"Venceslaus","DANTISCUS Ioannes",55,1,3,0,"1537-12-31","Latin","AAWO",1537,NA,NA,NA,NA
" ","Gdańsk",1269,"BISCHOFF Philipp","DANTISCUS Ioannes",234,1,24,0,"1535-01-24","German","AAWO",1535,54.352025,18.646638,NA,NA
" "," s.l.",1605,"WOJANOWSKI Fabian","DANTISCUS Ioannes",42,1,3,0,"1537-03-27","Latin","AAWO",1537,NA,NA,NA,NA
" "," s.l.",92,"DANTISCUS Ioannes","WERDEN Johann von",1,9,3,0,"1536-03-15","German","AAWO",1536,NA,NA,NA,NA
" "," s.l.",94,"DODIEU Claude de Vély","DANTISCUS Ioannes",34,1,3,0,"1541-12-22","Latin","AAWO",1541,NA,NA,NA,NA
" "," s.l.",3243,"DANTISCUS Ioannes","MACIEJOWSKI Samuel",1,38,3,0,"1547-10-31","Latin","AAWO",1547,NA,NA,NA,NA
" "," s.l.",99,"PŁOTOWSKI Paweł","DANTISCUS Ioannes",49,1,3,0,"1539-09-16","Latin","BCz",1539,NA,NA,NA,NA
" "," s.l.",1614,"SOLFA Jan Benedyktowicz","DANTISCUS Ioannes",83,1,3,0,"1537-04-28","Latin","AAWO",1537,NA,NA,NA,NA
" "," s.l.",5781,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1528-11-28","Latin","",1528,NA,NA,NA,NA
" "," s.l.",863,"Gertruda","DANTISCUS Ioannes",226,1,3,0,"1533-12-31","Low German","AAWO",1533,NA,NA,NA,NA
" "," s.l.",107,"DODIEU Claude de Vély","DANTISCUS Ioannes",34,1,3,0,"1532-07-28","Latin","BCz",1532,NA,NA,NA,NA
" "," s.l.",3890,"DANTISCUS Ioannes","TYMMERMANN Johann",1,171,3,0,"1539-08-31","Latin","AAWO",1539,NA,NA,NA,NA
" "," s.l.",110,"Sigismund I  Jagiellon","DANTISCUS Ioannes",24,1,3,0,"1511-08-04","Latin","BCz",1511,NA,NA,NA,NA
" "," s.l.",5787,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1529-07-27","Latin","BK",1529,NA,NA,NA,NA
" "," s.l.",115,"COLONNA Crisostomo","DANTISCUS Ioannes",65,1,3,0,"1516-12-31","Latin","BCz",1516,NA,NA,NA,NA
" "," s.l.",3900,"DANTISCUS Ioannes","Bona  Sforza",1,7,3,0,"1543-01-01","Latin","AAWO",1543,NA,NA,NA,NA
" "," s.l.",5795,"VALDÉS Alfonso de","DANTISCUS Ioannes",59,1,3,0,"1532-07-07","Latin","BK",1532,NA,NA,NA,NA
" "," s.l.",6180,"LUDOVICI Gregorius","DANTISCUS Ioannes",524,1,3,0,"1548-10-27","German","AAWO",1548,NA,NA,NA,NA
